54081,Raleigh,WV,54081,184.3,rural,2006
48305,Lynn,TX,48305,28.0,rural,2006
47035,Cumberland,TN,47035,168.9,rural,2006
47037,Davidson,TN,47037,109.1,urban,2006
47031,Coffee,TN,47031,219.1,rural,2006
47033,Crockett,TN,47033,78.1,rural,2006
06109,Tuolumne,CA,06109,126.3,rural,2006
06107,Tulare,CA,06107,72.1,urban,2006
06105,Trinity,CA,06105,120.5,rural,2006
47039,Decatur,TN,47039,164.8,rural,2006
06103,Tehama,CA,06103,109.4,rural,2006
06101,Sutter,CA,06101,134.3,rural,2006
46137,Ziebach,SD,46137,0.0,rural,2006
55029,Door,WI,55029,55.7,rural,2006
19149,Plymouth,IA,19149,35.8,rural,2006
39171,Williams,OH,39171,50.4,rural,2006
19147,Palo Alto,IA,19147,48.3,rural,2006
39173,Wood,OH,39173,47.7,rural,2006
19145,Page,IA,19145,69.2,rural,2006
39175,Wyandot,OH,39175,45.2,rural,2006
19143,Osceola,IA,19143,20.9,rural,2006
55023,Crawford,WI,55023,41.2,rural,2006
19141,O&rsquo;Brien,IA,19141,35.9,rural,2006
54083,Randolph,WV,54083,123.1,rural,2006
19185,Wayne,IA,19185,79.9,rural,2006
40141,Tillman,OK,40141,116.7,rural,2006
30049,Lewis and Clark,MT,30049,78.6,rural,2006
22019,Calcasieu,LA,22019,120.9,urban,2006
22013,Bienville,LA,22013,0.0,rural,2006
22011,Beauregard,LA,22011,87.0,rural,2006
22017,Caddo,LA,22017,118.8,urban,2006
22015,Bossier,LA,22015,109.8,rural,2006
46129,Walworth,SD,46129,61.9,rural,2006
06039,Madera,CA,06039,48.6,rural,2006
06033,Lake,CA,06033,139.0,rural,2006
06031,Kings,CA,06031,60.0,rural,2006
06037,Los Angeles,CA,06037,37.9,urban,2006
06035,Lassen,CA,06035,105.3,rural,2006
27143,Sibley,MN,27143,15.7,rural,2006
16065,Madison,ID,16065,44.7,rural,2006
27141,Sherburne,MN,27141,37.3,rural,2006
16067,Minidoka,ID,16067,33.1,rural,2006
27147,Steele,MN,27147,40.3,rural,2006
16061,Lewis,ID,16061,148.5,rural,2006
27145,Stearns,MN,27145,53.5,rural,2006
16063,Lincoln,ID,16063,0.0,rural,2006
51510,Alexandria,VA,51510,38.4,rural,2006
27149,Stevens,MN,27149,66.4,rural,2006
51530,Buena Vista,VA,51530,99.2,rural,2006
39009,Athens,OH,39009,95.4,rural,2006
16069,Nez Perce,ID,16069,152.5,rural,2006
21113,Jessamine,KY,21113,93.2,rural,2006
21111,Jefferson,KY,21111,119.2,urban,2006
21117,Kenton,KY,21117,93.8,rural,2006
21115,Johnson,KY,21115,257.5,rural,2006
48447,Throckmorton,TX,48447,0.0,rural,2006
21119,Knott,KY,21119,34.3,rural,2006
56045,Weston,WY,56045,71.7,rural,2006
32009,Esmeralda,NV,32009,0.0,rural,2006
32005,Douglas,NV,32005,90.4,rural,2006
32007,Elko,NV,32007,70.6,rural,2006
32001,Churchill,NV,32001,110.6,rural,2006
32003,Clark,NV,32003,85.7,urban,2006
42021,Cambria,PA,42021,98.3,rural,2006
26141,Presque Isle,MI,26141,73.0,rural,2006
42023,Cameron,PA,42023,113.1,rural,2006
26143,Roscommon,MI,26143,111.5,rural,2006
42025,Carbon,PA,42025,69.9,rural,2006
26145,Saginaw,MI,26145,84.1,rural,2006
42027,Centre,PA,42027,59.3,rural,2006
12009,Brevard,FL,12009,95.5,urban,2006
42029,Chester,PA,42029,49.5,rural,2006
26149,St. Joseph,MI,26149,93.8,rural,2006
12005,Bay,FL,12005,120.4,rural,2006
